,head id,head name,tail id,tail name,pathway,link type,relation name,relation value,entry1,entry2,Unnamed: 0
40,hsa:226,ALDOA,cpd:C05378,C05378,hsa00010,ECrel,compound,108.0,18.0,64.0,
41,cpd:C05378,C05378,hsa:2203,FBP1,hsa00010,ECrel,compound,108.0,18.0,64.0,
43,cpd:C05378,C05378,hsa:5211,PFKL,hsa00010,ECrel,compound,108.0,18.0,63.0,
44,hsa:7167,TPI1,cpd:C00111,C00111,hsa00010,ECrel,compound,92.0,62.0,18.0,
45,cpd:C00111,C00111,hsa:226,ALDOA,hsa00010,ECrel,compound,92.0,62.0,18.0,
46,hsa:2597,GAPDH,cpd:C00236,C00236,hsa00010,ECrel,compound,98.0,61.0,80.0,
47,cpd:C00236,C00236,hsa:5230,PGK1,hsa00010,ECrel,compound,98.0,61.0,80.0,
48,hsa:441531,PGAM4,cpd:C00197,C00197,hsa00010,ECrel,compound,97.0,60.0,80.0,
49,cpd:C00197,C00197,hsa:5230,PGK1,hsa00010,ECrel,compound,97.0,60.0,80.0,
50,hsa:2023,ENO1,cpd:C00631,C00631,hsa00010,ECrel,compound,89.0,59.0,60.0,
51,cpd:C00631,C00631,hsa:441531,PGAM4,hsa00010,ECrel,compound,89.0,59.0,60.0,
52,hsa:5160,PDHA1,cpd:C16255,C16255,hsa00010,ECrel,compound,106.0,53.0,54.0,
53,cpd:C16255,C16255,hsa:1737,DLAT,hsa00010,ECrel,compound,106.0,53.0,54.0,
54,hsa:5160,PDHA1,cpd:C15972,C15972,hsa00010,ECrel,compound,100.0,53.0,79.0,
55,cpd:C15972,C15972,hsa:1738,DLD,hsa00010,ECrel,compound,100.0,53.0,79.0,
56,hsa:1737,DLAT,cpd:C15973,C15973,hsa00010,ECrel,compound,107.0,54.0,79.0,
57,cpd:C15973,C15973,hsa:1738,DLD,hsa00010,ECrel,compound,107.0,54.0,79.0,
58,hsa:217,ALDH2,cpd:C00084,C00084,hsa00010,ECrel,compound,105.0,42.0,50.0,
59,cpd:C00084,C00084,hsa:124,ADH1A,hsa00010,ECrel,compound,105.0,42.0,50.0,
60,hsa:218,ALDH3A1,cpd:C00084,C00084,hsa00010,ECrel,compound,105.0,44.0,50.0,
63,cpd:C00084,C00084,hsa:10327,AKR1A1,hsa00010,ECrel,compound,105.0,42.0,49.0,
66,hsa:5313,PKLR,cpd:C00074,C00074,hsa00010,ECrel,compound,96.0,57.0,59.0,
67,cpd:C00074,C00074,hsa:2023,ENO1,hsa00010,ECrel,compound,96.0,57.0,59.0,
72,hsa:160287,LDHAL6A,cpd:C00022,C00022,hsa00010,ECrel,compound,102.0,55.0,57.0,
73,cpd:C00022,C00022,hsa:5313,PKLR,hsa00010,ECrel,compound,102.0,55.0,57.0,
74,hsa:5160,PDHA1,cpd:C00022,C00022,hsa00010,ECrel,compound,102.0,52.0,57.0,
77,cpd:C00022,C00022,hsa:160287,LDHAL6A,hsa00010,ECrel,compound,102.0,52.0,55.0,
78,hsa:2645,GCK,cpd:C01172,C01172,hsa00010,ECrel,compound,93.0,70.0,71.0,
79,cpd:C01172,C01172,hsa:2821,GPI,hsa00010,ECrel,compound,93.0,70.0,71.0,
80,hsa:3098,HK1,cpd:C01172,C01172,hsa00010,ECrel,compound,93.0,69.0,71.0,
82,hsa:5236,PGM1,cpd:C00103,C00103,hsa00010,maplink,compound,88.0,67.0,47.0,
83,cpd:C00103,C00103,path:hsa00500,Starch and sucrose metabolism,hsa00010,maplink,compound,88.0,67.0,47.0,
85,cpd:C00668,C00668,path:hsa00030,Pentose phosphate pathway,hsa00010,maplink,compound,94.0,67.0,46.0,
88,hsa:2538,G6PC1,cpd:C00668,C00668,hsa00010,maplink,compound,94.0,76.0,46.0,
90,hsa:3098,HK1,cpd:C00668,C00668,hsa00010,maplink,compound,94.0,75.0,46.0,
92,hsa:2645,GCK,cpd:C00668,C00668,hsa00010,maplink,compound,94.0,74.0,46.0,
96,hsa:1737,DLAT,cpd:C00024,C00024,hsa00010,maplink,compound,104.0,54.0,58.0,
97,cpd:C00024,C00024,path:hsa00020,Citrate cycle (TCA cycle),hsa00010,maplink,compound,104.0,54.0,58.0,
98,hsa:5230,PGK1,cpd:C00236,C00236,hsa00010,ECrel,compound,98.0,80.0,138.0,
99,cpd:C00236,C00236,hsa:669,BPGM,hsa00010,ECrel,compound,98.0,80.0,138.0,
102,hsa:669,BPGM,cpd:C00197,C00197,hsa00010,ECrel,compound,97.0,137.0,80.0,
105,cpd:C00197,C00197,hsa:441531,PGAM4,hsa00010,ECrel,compound,97.0,137.0,60.0,
106,hsa:5105,PCK1,cpd:C00074,C00074,hsa00010,ECrel,compound,96.0,117.0,59.0,
109,cpd:C00074,C00074,hsa:5313,PKLR,hsa00010,ECrel,compound,96.0,117.0,57.0,
110,hsa:160287,LDHAL6A,cpd:C00186,C00186,hsa00010,maplink,compound,99.0,55.0,126.0,
111,cpd:C00186,C00186,path:hsa00640,Propanoate metabolism,hsa00010,maplink,compound,99.0,55.0,126.0,
112,path:hsa00020,Citrate cycle (TCA cycle),cpd:C00036,C00036,hsa00010,maplink,compound,118.0,58.0,117.0,
113,cpd:C00036,C00036,hsa:5105,PCK1,hsa00010,maplink,compound,118.0,58.0,117.0,
114,hsa:441531,PGAM4,cpd:C00631,C00631,hsa00010,maplink,compound,89.0,60.0,46.0,
115,cpd:C00631,C00631,path:hsa00030,Pentose phosphate pathway,hsa00010,maplink,compound,89.0,60.0,46.0,
119,cpd:C00022,C00022,path:hsa00030,Pentose phosphate pathway,hsa00010,maplink,compound,102.0,52.0,46.0,
122,hsa:5313,PKLR,cpd:C00022,C00022,hsa00010,maplink,compound,102.0,57.0,46.0,
124,hsa:7167,TPI1,cpd:C00118,C00118,hsa00010,ECrel,compound,139.0,62.0,61.0,
125,cpd:C00118,C00118,hsa:2597,GAPDH,hsa00010,ECrel,compound,139.0,62.0,61.0,
126,hsa:226,ALDOA,cpd:C00118,C00118,hsa00010,ECrel,compound,139.0,18.0,62.0,
127,cpd:C00118,C00118,hsa:7167,TPI1,hsa00010,ECrel,compound,139.0,18.0,62.0,
131,cpd:C00118,C00118,path:hsa00030,Pentose phosphate pathway,hsa00010,maplink,compound,139.0,18.0,46.0,
132,path:hsa00030,Pentose phosphate pathway,cpd:C00118,C00118,hsa00010,maplink,compound,139.0,46.0,61.0,
136,hsa:669,BPGM,cpd:C01159,C01159,hsa00010,ECrel,compound,134.0,138.0,137.0,
137,cpd:C01159,C01159,hsa:669,BPGM,hsa00010,ECrel,compound,134.0,138.0,137.0,
138,hsa:55902,ACSS2,cpd:C00033,C00033,hsa00010,ECrel,compound,45.0,140.0,42.0,
139,cpd:C00033,C00033,hsa:217,ALDH2,hsa00010,ECrel,compound,45.0,140.0,42.0,
141,cpd:C00033,C00033,hsa:218,ALDH3A1,hsa00010,ECrel,compound,45.0,140.0,44.0,
142,hsa:55902,ACSS2,cpd:C00024,C00024,hsa00010,ECrel,compound,104.0,140.0,54.0,
143,cpd:C00024,C00024,hsa:1737,DLAT,hsa00010,ECrel,compound,104.0,140.0,54.0,
146,hsa:83440,ADPGK,cpd:C01172,C01172,hsa00010,ECrel,compound,93.0,144.0,68.0,
151,cpd:C00267,C00267,hsa:83440,ADPGK,hsa00010,ECrel,compound,90.0,73.0,143.0,
152,hsa:130589,GALM,cpd:C00221,C00221,hsa00010,ECrel,compound,91.0,73.0,144.0,
153,cpd:C00221,C00221,hsa:83440,ADPGK,hsa00010,ECrel,compound,91.0,73.0,144.0,
154,hsa:83440,ADPGK,cpd:C00668,C00668,hsa00010,ECrel,compound,94.0,143.0,71.0,
163,cpd:C01159,C01159,hsa:9562,MINPP1,hsa00010,ECrel,compound,134.0,138.0,150.0,
167,cpd:C00631,C00631,hsa:9562,MINPP1,hsa00010,ECrel,compound,89.0,60.0,150.0,
168,hsa:9562,MINPP1,cpd:C00631,C00631,hsa00010,ECrel,compound,89.0,150.0,59.0,
169,cpd:C00631,C00631,hsa:2023,ENO1,hsa00010,ECrel,compound,89.0,150.0,59.0,
172,hsa:5230,PGK1,cpd:C00197,C00197,hsa00010,maplink,compound,97.0,80.0,151.0,
173,cpd:C00197,C00197,path:map00710,Carbon fixation in photosynthetic organisms,hsa00010,maplink,compound,97.0,80.0,151.0,
178,cpd:C00084,cpd:C00084,cpd:C00033,cpd:C00033,hsa00010,reaction,rn:R00710,reversible,105.0,45.0,0.0
179,cpd:C00084,cpd:C00084,cpd:C00033,cpd:C00033,hsa00010,reaction,rn:R00711,reversible,105.0,45.0,1.0
180,cpd:C00469,cpd:C00469,cpd:C00084,cpd:C00084,hsa00010,reaction,rn:R00746,reversible,101.0,105.0,2.0
181,cpd:C00469,cpd:C00469,cpd:C00084,cpd:C00084,hsa00010,reaction,rn:R00754,reversible,101.0,105.0,3.0
182,cpd:C00068,cpd:C00068,cpd:C05125,cpd:C05125,hsa00010,reaction,rn:R00014,irreversible,146.0,103.0,4.0
183,cpd:C00022,cpd:C00022,cpd:C05125,cpd:C05125,hsa00010,reaction,rn:R00014,irreversible,102.0,103.0,5.0
184,cpd:C05125,cpd:C05125,cpd:C00068,cpd:C00068,hsa00010,reaction,rn:R03270,irreversible,103.0,146.0,6.0
185,cpd:C05125,cpd:C05125,cpd:C16255,cpd:C16255,hsa00010,reaction,rn:R03270,irreversible,103.0,106.0,7.0
186,cpd:C15972,cpd:C15972,cpd:C00068,cpd:C00068,hsa00010,reaction,rn:R03270,irreversible,100.0,146.0,8.0
187,cpd:C15972,cpd:C15972,cpd:C16255,cpd:C16255,hsa00010,reaction,rn:R03270,irreversible,100.0,106.0,9.0
188,cpd:C15973,cpd:C15973,cpd:C16255,cpd:C16255,hsa00010,reaction,rn:R02569,reversible,107.0,106.0,10.0
189,cpd:C00024,cpd:C00024,cpd:C16255,cpd:C16255,hsa00010,reaction,rn:R02569,reversible,104.0,106.0,11.0
190,cpd:C00186,cpd:C00186,cpd:C00022,cpd:C00022,hsa00010,reaction,rn:R00703,reversible,99.0,102.0,12.0
191,cpd:C00074,cpd:C00074,cpd:C00022,cpd:C00022,hsa00010,reaction,rn:R00200,irreversible,96.0,102.0,13.0
192,cpd:C00631,cpd:C00631,cpd:C00074,cpd:C00074,hsa00010,reaction,rn:R00658,reversible,89.0,96.0,14.0
193,cpd:C00631,cpd:C00631,cpd:C00197,cpd:C00197,hsa00010,reaction,rn:R01518,reversible,89.0,97.0,15.0
194,cpd:C00118,cpd:C00118,cpd:C00236,cpd:C00236,hsa00010,reaction,rn:R01061,reversible,139.0,98.0,16.0
195,cpd:C00118,cpd:C00118,cpd:C00111,cpd:C00111,hsa00010,reaction,rn:R01015,reversible,139.0,92.0,17.0
196,cpd:C05378,cpd:C05378,cpd:C00118,cpd:C00118,hsa00010,reaction,rn:R01070,reversible,108.0,139.0,18.0
197,cpd:C05378,cpd:C05378,cpd:C00111,cpd:C00111,hsa00010,reaction,rn:R01070,reversible,108.0,92.0,19.0
198,cpd:C05345,cpd:C05345,cpd:C05378,cpd:C05378,hsa00010,reaction,rn:R04779,irreversible,95.0,108.0,20.0
199,cpd:C05378,cpd:C05378,cpd:C05345,cpd:C05345,hsa00010,reaction,rn:R04780,irreversible,108.0,95.0,21.0
200,cpd:C00668,cpd:C00668,cpd:C05345,cpd:C05345,hsa00010,reaction,rn:R02740,reversible,94.0,95.0,22.0
201,cpd:C00103,cpd:C00103,cpd:C00668,cpd:C00668,hsa00010,reaction,rn:R00959,reversible,88.0,94.0,23.0
202,cpd:C01172,cpd:C01172,cpd:C05345,cpd:C05345,hsa00010,reaction,rn:R03321,reversible,93.0,95.0,24.0
203,cpd:C00221,cpd:C00221,cpd:C01172,cpd:C01172,hsa00010,reaction,rn:R01600,irreversible,91.0,93.0,25.0
205,cpd:C00668,cpd:C00668,cpd:C01172,cpd:C01172,hsa00010,reaction,rn:R02739,reversible,94.0,93.0,27.0
206,cpd:C00267,cpd:C00267,cpd:C00221,cpd:C00221,hsa00010,reaction,rn:R01602,reversible,90.0,91.0,28.0
207,cpd:C00267,cpd:C00267,cpd:C00668,cpd:C00668,hsa00010,reaction,rn:R01786,irreversible,90.0,94.0,29.0
209,cpd:C00668,cpd:C00668,cpd:C00267,cpd:C00267,hsa00010,reaction,rn:R01788,irreversible,94.0,90.0,31.0
210,cpd:C15973,cpd:C15973,cpd:C15972,cpd:C15972,hsa00010,reaction,rn:R07618,reversible,107.0,100.0,32.0
211,cpd:C00197,cpd:C00197,cpd:C00236,cpd:C00236,hsa00010,reaction,rn:R01512,reversible,97.0,98.0,33.0
212,cpd:C00036,cpd:C00036,cpd:C00074,cpd:C00074,hsa00010,reaction,rn:R00431 rn:R00726,irreversible,118.0,96.0,34.0
213,cpd:C01159,cpd:C01159,cpd:C00197,cpd:C00197,hsa00010,reaction,rn:R01516,reversible,134.0,97.0,35.0
214,cpd:C00236,cpd:C00236,cpd:C01159,cpd:C01159,hsa00010,reaction,rn:R01662,reversible,98.0,134.0,36.0
215,cpd:C00033,cpd:C00033,cpd:C00024,cpd:C00024,hsa00010,reaction,rn:R00235,irreversible,45.0,104.0,37.0
216,cpd:C00267,cpd:C00267,cpd:C00668,cpd:C00668,hsa00010,reaction,rn:R09085,irreversible,90.0,94.0,38.0
217,cpd:C00221,cpd:C00221,cpd:C01172,cpd:C01172,hsa00010,reaction,rn:R09086,reversible,91.0,93.0,39.0
218,cpd:C01159,cpd:C01159,cpd:C00631,cpd:C00631,hsa00010,reaction,rn:R09532,irreversible,134.0,89.0,40.0
219,hsa:5160,PDHA1,cpd:C00022,C00022,hsa00020,ECrel,compound,61,84.0,48.0,
220,cpd:C00022,C00022,hsa:5091,PC,hsa00020,ECrel,compound,61,84.0,48.0,
222,cpd:C00022,C00022,path:hsa00010,Glycolysis / Gluconeogenesis,hsa00020,maplink,compound,61,84.0,50.0,
223,hsa:5091,PC,cpd:C00022,C00022,hsa00020,maplink,compound,61,48.0,50.0,
225,path:hsa00061,Fatty acid biosynthesis,cpd:C00024,C00024,hsa00020,maplink,compound,65,51.0,52.0,
226,cpd:C00024,C00024,path:hsa00062,Fatty acid elongation,hsa00020,maplink,compound,65,51.0,52.0,
228,cpd:C00024,C00024,path:hsa00280,Valine,hsa00020,maplink,compound,65,51.0,94.0,
230,cpd:C00024,C00024,path:hsa00071,Fatty acid degradation,hsa00020,maplink,compound,65,51.0,53.0,
232,cpd:C00024,C00024,hsa:1737,DLAT,hsa00020,maplink,compound,65,51.0,91.0,
234,cpd:C00024,C00024,hsa:1431,CS,hsa00020,maplink,compound,65,51.0,46.0,
236,cpd:C00024,C00024,hsa:47,ACLY,hsa00020,maplink,compound,65,51.0,42.0,
237,path:hsa00062,Fatty acid elongation,cpd:C00024,C00024,hsa00020,maplink,compound,65,52.0,94.0,
247,path:hsa00280,Valine,cpd:C00024,C00024,hsa00020,maplink,compound,65,94.0,53.0,
255,path:hsa00071,Fatty acid degradation,cpd:C00024,C00024,hsa00020,maplink,compound,65,53.0,91.0,
261,hsa:1737,DLAT,cpd:C00024,C00024,hsa00020,ECrel,compound,65,91.0,46.0,
265,path:hsa00630,Glyoxylate and dicarboxylate metabolism,cpd:C00036,C00036,hsa00020,maplink,compound,63,49.0,59.0,
266,cpd:C00036,C00036,path:hsa00250,Alanine,hsa00020,maplink,compound,63,49.0,59.0,
268,cpd:C00036,C00036,hsa:4190,MDH1,hsa00020,maplink,compound,63,49.0,47.0,
270,cpd:C00036,C00036,hsa:47,ACLY,hsa00020,maplink,compound,63,49.0,42.0,
272,cpd:C00036,C00036,hsa:1431,CS,hsa00020,maplink,compound,63,49.0,46.0,
274,cpd:C00036,C00036,hsa:5091,PC,hsa00020,maplink,compound,63,49.0,48.0,
276,cpd:C00036,C00036,hsa:5105,PCK1,hsa00020,maplink,compound,63,49.0,97.0,
277,path:hsa00250,Alanine,cpd:C00036,C00036,hsa00020,maplink,compound,63,59.0,47.0,
287,hsa:4190,MDH1,cpd:C00036,C00036,hsa00020,ECrel,compound,63,47.0,42.0,
295,hsa:47,ACLY,cpd:C00036,C00036,hsa00020,ECrel,compound,63,42.0,48.0,
299,hsa:1431,CS,cpd:C00036,C00036,hsa00020,ECrel,compound,63,46.0,48.0,
303,hsa:5091,PC,cpd:C00036,C00036,hsa00020,ECrel,compound,63,48.0,97.0,
305,hsa:4190,MDH1,cpd:C00149,C00149,hsa00020,ECrel,compound,66,47.0,43.0,
306,cpd:C00149,C00149,hsa:2271,FH,hsa00020,ECrel,compound,66,47.0,43.0,
307,hsa:2271,FH,cpd:C00122,C00122,hsa00020,maplink,compound,62,43.0,57.0,
308,cpd:C00122,C00122,path:hsa00350,Tyrosine metabolism,hsa00020,maplink,compound,62,43.0,57.0,
310,cpd:C00122,C00122,path:hsa00220,Arginine biosynthesis,hsa00020,maplink,compound,62,43.0,111.0,
312,cpd:C00122,C00122,hsa:6389,SDHA,hsa00020,ECrel,compound,62,43.0,107.0,
313,path:hsa00350,Tyrosine metabolism,cpd:C00122,C00122,hsa00020,maplink,compound,62,57.0,111.0,
317,path:hsa00220,Arginine biosynthesis,cpd:C00122,C00122,hsa00020,maplink,compound,62,111.0,107.0,
319,hsa:6389,SDHA,cpd:C00042,C00042,hsa00020,ECrel,compound,69,107.0,38.0,
320,cpd:C00042,C00042,hsa:8801,SUCLG2,hsa00020,ECrel,compound,69,107.0,38.0,
323,hsa:8801,SUCLG2,cpd:C00091,C00091,hsa00020,maplink,compound,75,38.0,58.0,
324,cpd:C00091,C00091,path:hsa00280,Valine,hsa00020,maplink,compound,75,38.0,58.0,
326,cpd:C00091,C00091,hsa:1743,DLST,hsa00020,ECrel,compound,75,38.0,36.0,
331,path:hsa00280,Valine,cpd:C00091,C00091,hsa00020,maplink,compound,75,58.0,36.0,
333,hsa:1743,DLST,cpd:C16254,C16254,hsa00020,ECrel,compound,73,36.0,35.0,
334,cpd:C16254,C16254,hsa:4967,OGDH,hsa00020,ECrel,compound,73,36.0,35.0,
335,hsa:1743,DLST,cpd:C15973,C15973,hsa00020,ECrel,compound,74,36.0,33.0,
336,cpd:C15973,C15973,hsa:1738,DLD,hsa00020,ECrel,compound,74,36.0,33.0,
337,hsa:1738,DLD,cpd:C15972,C15972,hsa00020,ECrel,compound,71,33.0,35.0,
338,cpd:C15972,C15972,hsa:4967,OGDH,hsa00020,ECrel,compound,71,33.0,35.0,
339,hsa:4967,OGDH,cpd:C00026,C00026,hsa00020,maplink,compound,76,34.0,60.0,
340,cpd:C00026,C00026,path:hsa00470,D-Amino acid metabolism,hsa00020,maplink,compound,76,34.0,60.0,
342,cpd:C00026,C00026,path:hsa00250,Alanine,hsa00020,maplink,compound,76,34.0,55.0,
344,cpd:C00026,C00026,path:hsa00053,Ascorbate and aldarate metabolism,hsa00020,maplink,compound,76,34.0,54.0,
346,cpd:C00026,C00026,hsa:3419,IDH3A,hsa00020,ECrel,compound,76,34.0,40.0,
348,cpd:C00026,C00026,hsa:3417,IDH1,hsa00020,ECrel,compound,76,34.0,39.0,
349,path:hsa00470,D-Amino acid metabolism,cpd:C00026,C00026,hsa00020,maplink,compound,76,60.0,55.0,
357,path:hsa00250,Alanine,cpd:C00026,C00026,hsa00020,maplink,compound,76,55.0,54.0,
363,path:hsa00053,Ascorbate and aldarate metabolism,cpd:C00026,C00026,hsa00020,maplink,compound,76,54.0,40.0,
367,hsa:3419,IDH3A,cpd:C00026,C00026,hsa00020,ECrel,compound,76,40.0,39.0,
369,hsa:48,ACO1,cpd:C00311,C00311,hsa00020,ECrel,compound,67,44.0,41.0,
370,cpd:C00311,C00311,hsa:3417,IDH1,hsa00020,ECrel,compound,67,44.0,41.0,
372,cpd:C00311,C00311,hsa:3419,IDH3A,hsa00020,ECrel,compound,67,44.0,40.0,
373,hsa:3417,IDH1,cpd:C00311,C00311,hsa00020,ECrel,compound,67,41.0,40.0,
375,hsa:1431,CS,cpd:C00158,C00158,hsa00020,ECrel,compound,70,46.0,45.0,
376,cpd:C00158,C00158,hsa:48,ACO1,hsa00020,ECrel,compound,70,46.0,45.0,
377,hsa:47,ACLY,cpd:C00158,C00158,hsa00020,ECrel,compound,70,42.0,45.0,
379,hsa:1738,DLD,cpd:C15972,C15972,hsa00020,ECrel,compound,87,89.0,86.0,
380,cpd:C15972,C15972,hsa:5160,PDHA1,hsa00020,ECrel,compound,87,89.0,86.0,
381,hsa:5160,PDHA1,cpd:C05125,C05125,hsa00020,ECrel,compound,83,86.0,84.0,
382,cpd:C05125,C05125,hsa:5160,PDHA1,hsa00020,ECrel,compound,83,86.0,84.0,
383,hsa:1737,DLAT,cpd:C16255,C16255,hsa00020,ECrel,compound,90,91.0,86.0,
384,cpd:C16255,C16255,hsa:5160,PDHA1,hsa00020,ECrel,compound,90,91.0,86.0,
385,hsa:1738,DLD,cpd:C15973,C15973,hsa00020,ECrel,compound,101,89.0,91.0,
386,cpd:C15973,C15973,hsa:1737,DLAT,hsa00020,ECrel,compound,101,89.0,91.0,
387,hsa:5105,PCK1,cpd:C00074,C00074,hsa00020,maplink,compound,102,97.0,50.0,
388,cpd:C00074,C00074,path:hsa00010,Glycolysis / Gluconeogenesis,hsa00020,maplink,compound,102,97.0,50.0,
390,cpd:C00026,C00026,path:hsa00220,Arginine biosynthesis,hsa00020,maplink,compound,76,34.0,113.0,
397,path:hsa00220,Arginine biosynthesis,cpd:C00026,C00026,hsa00020,maplink,compound,76,113.0,40.0,
401,path:hsa00190,Oxidative phosphorylation,cpd:C00042,C00042,hsa00020,maplink,compound,69,122.0,107.0,
402,cpd:C00042,C00042,hsa:6389,SDHA,hsa00020,maplink,compound,69,122.0,107.0,
408,cpd:C00026,cpd:C00026,cpd:C05381,cpd:C05381,hsa00020,reaction,rn:R00621,irreversible,76.0,77.0,1.0
409,cpd:C00068,cpd:C00068,cpd:C05381,cpd:C05381,hsa00020,reaction,rn:R00621,irreversible,72.0,77.0,2.0
410,cpd:C05381,cpd:C05381,cpd:C16254,cpd:C16254,hsa00020,reaction,rn:R03316,irreversible,77.0,73.0,3.0
411,cpd:C05381,cpd:C05381,cpd:C00068,cpd:C00068,hsa00020,reaction,rn:R03316,irreversible,77.0,72.0,4.0
412,cpd:C15972,cpd:C15972,cpd:C16254,cpd:C16254,hsa00020,reaction,rn:R03316,irreversible,71.0,73.0,5.0
413,cpd:C15972,cpd:C15972,cpd:C00068,cpd:C00068,hsa00020,reaction,rn:R03316,irreversible,71.0,72.0,6.0
414,cpd:C00091,cpd:C00091,cpd:C16254,cpd:C16254,hsa00020,reaction,rn:R02570,reversible,75.0,73.0,7.0
415,cpd:C15973,cpd:C15973,cpd:C16254,cpd:C16254,hsa00020,reaction,rn:R02570,reversible,74.0,73.0,8.0
416,cpd:C00042,cpd:C00042,cpd:C00091,cpd:C00091,hsa00020,reaction,rn:R00405,reversible,69.0,75.0,9.0
417,cpd:C00042,cpd:C00042,cpd:C00091,cpd:C00091,hsa00020,reaction,rn:R00432 rn:R00727,reversible,69.0,75.0,10.0
418,cpd:C05379,cpd:C05379,cpd:C00026,cpd:C00026,hsa00020,reaction,rn:R00268,reversible,64.0,76.0,11.0
419,cpd:C00311,cpd:C00311,cpd:C00026,cpd:C00026,hsa00020,reaction,rn:R00709,reversible,67.0,76.0,12.0
420,cpd:C00311,cpd:C00311,cpd:C05379,cpd:C05379,hsa00020,reaction,rn:R01899,reversible,67.0,64.0,13.0
421,cpd:C00024,cpd:C00024,cpd:C00158,cpd:C00158,hsa00020,reaction,rn:R00352,reversible,65.0,70.0,14.0
422,cpd:C00036,cpd:C00036,cpd:C00158,cpd:C00158,hsa00020,reaction,rn:R00352,reversible,63.0,70.0,15.0
423,cpd:C00042,cpd:C00042,cpd:C00122,cpd:C00122,hsa00020,reaction,rn:R02164,reversible,69.0,62.0,16.0
424,cpd:C00149,cpd:C00149,cpd:C00122,cpd:C00122,hsa00020,reaction,rn:R01082,reversible,66.0,62.0,17.0
425,cpd:C00417,cpd:C00417,cpd:C00311,cpd:C00311,hsa00020,reaction,rn:R01900,reversible,68.0,67.0,18.0
426,cpd:C00158,cpd:C00158,cpd:C00417,cpd:C00417,hsa00020,reaction,rn:R01325,reversible,70.0,68.0,19.0
427,cpd:C00024,cpd:C00024,cpd:C00158,cpd:C00158,hsa00020,reaction,rn:R00351,reversible,65.0,70.0,20.0
428,cpd:C00036,cpd:C00036,cpd:C00158,cpd:C00158,hsa00020,reaction,rn:R00351,reversible,63.0,70.0,21.0
429,cpd:C00149,cpd:C00149,cpd:C00036,cpd:C00036,hsa00020,reaction,rn:R00342,reversible,66.0,63.0,22.0
430,cpd:C00022,cpd:C00022,cpd:C00036,cpd:C00036,hsa00020,reaction,rn:R00344,irreversible,61.0,63.0,23.0
441,hsa:414328,IDNK,cpd:C00257,C00257,hsa00030,ECrel,compound,115,67.0,69.0,
442,cpd:C00257,C00257,hsa:9104,RGN,hsa00030,ECrel,compound,115,67.0,69.0,
443,hsa:5226,PGD,cpd:C00345,C00345,hsa00030,ECrel,compound,119,61.0,62.0,
444,cpd:C00345,C00345,hsa:25796,PGLS,hsa00030,ECrel,compound,119,61.0,62.0,
445,hsa:25796,PGLS,cpd:C00345,C00345,hsa00030,ECrel,compound,119,62.0,67.0,
446,cpd:C00345,C00345,hsa:414328,IDNK,hsa00030,ECrel,compound,119,62.0,67.0,
449,hsa:25796,PGLS,cpd:C01236,C01236,hsa00030,ECrel,compound,135,62.0,63.0,
450,cpd:C01236,C01236,hsa:2539,G6PD,hsa00030,ECrel,compound,135,62.0,63.0,
451,hsa:2821,GPI,cpd:C01172,C01172,hsa00030,ECrel,compound,134,42.0,63.0,
